City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,avon park,27.5959,-81.5062,28.22,84,8,5.33,US,Sun Oct  1 10:35:32 2023
233,sao paulo de olivenca,-3.3783,-68.8725,33.31,51,100,0.86,BR,Sun Oct  1 10:35:32 2023
234,xining,36.6167,101.7667,13.24,79,99,3.52,CN,Sun Oct  1 10:35:32 2023
235,soio,-6.1349,12.3689,26.33,74,60,4.91,AO,Sun Oct  1 10:35:32 2023
236,nguigmi,14.2495,13.1092,33.18,32,100,1.67,NE,Sun Oct  1 10:35:32 2023
237,nova vicosa,-17.8919,-39.3719,27.04,59,33,4.12,BR,Sun Oct  1 10:35:33 2023
238,opuwo,-18.0607,13.84,36.25,6,0,3.82,NA,Sun Oct  1 10:35:33 2023
239,thunder bay,48.4001,-89.3168,15.99,100,100,4.12,CA,Sun Oct  1 10:35:24 2023
240,hakkari,37.5833,44.1667,16.88,48,75,8.23,TR,Sun Oct  1 10:35:33 2023
241,okha,53.5739,142.9478,8.91,99,100,5.45,RU,Sun Oct  1 10:35:33 2023
242,andergrove,-21.0833,149.1833,19.8,85,66,5.27,AU,Sun Oct  1 10:35:34 2023
243,rongelap,11.1635,166.8941,27.98,78,100,5.83,MH,Sun Oct  1 10:35:34 2023
244,newman,37.3138,-121.0208,15.59,88,79,0.88,US,Sun Oct  1 10:34:19 2023
245,governador valadares,-18.8511,-41.9494,31.8,41,69,1.23,BR,Sun Oct  1 10:31:14 2023
246,ternate,0.8,127.4,26.75,83,52,2.76,ID,Sun Oct  1 10:35:34 2023
247,hakui,36.8833,136.7833,19.01,77,30,3.07,JP,Sun Oct  1 10:35:35 2023
248,kendari,-3.945,122.4989,23.48,92,16,0.23,ID,Sun Oct  1 10:35:35 2023
249,kunshan,31.3776,120.9543,23.84,75,72,2.49,CN,Sun Oct  1 10:35:35 2023
250,glace bay,46.1969,-59.957,19.42,59,0,1.34,CA,Sun Oct  1 10:35:21 2023
251,idri,27.5,13.2667,33.49,23,99,3.96,LY,Sun Oct  1 10:35:35 2023
252,kalemie,-5.9475,29.1947,29.95,40,0,2.32,CD,Sun Oct  1 10:35:35 2023
253,jikamshi,12.1733,7.7742,27.31,64,97,4.65,NG,Sun Oct  1 10:35:36 2023
254,peniche,39.3558,-9.3811,34.49,52,29,3.86,PT,Sun Oct  1 10:34:54 2023
255,haren,52.7833,7.2333,22.28,64,100,3.6,DE,Sun Oct  1 10:35:36 2023
256,peterhead,57.5058,-1.7981,20.25,71,6,2.71,GB,Sun Oct  1 10:32:36 2023
